name.keyword: Descending,msg.keyword: Descending,timestamp: Descending,Count
prism-ba01,Visual C++ Compiler/Tools X86 ARM Cross Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools X64 X86 Cross Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools X64 X86 Cross Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools X64 Native Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools X64 Native Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools X64 Base Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools X64 Base Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools X64 ARM Cross Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools X64 ARM Cross Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X86 X64 Cross Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X86 X64 Cross Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X86 Native Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X86 Native Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X86 Base Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X86 Base Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X86 ARM Cross Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X86 ARM Cross Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X64 X86 Cross Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X64 X86 Cross Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X64 Native Resource Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X64 Native Package,1.50423E+12,1
prism-ba01,Visual C++ Compiler/Tools Premium X64 Base Resource Package,1.50423E+12,1
